"File","Keyword","Text"
"C:\Users\deerd\detected_speech_2.csv","kill","2025-02-17 18:13:40,i hope in killed let let that at all and,""-302.0, -300.0, 300.0, -352.3, 352.3"""
"C:\Users\deerd\detected_speech_2.csv","kill","2025-02-17 18:18:05,at the whoa who killed,""-1000.2, 999.8, -999.8, -1000.0, 1000.0"""
"C:\Users\deerd\detected_speech_2.csv","hunt","2025-02-17 18:30:50,and i the hunt and hug lou,""402.6, -302.0, 302.0, -251.7, 251.7"""
"C:\Users\deerd\detected_speech_2.csv","death","2025-02-17 19:09:00,the death of the apple,""-201.3, -151.0, 151.0, 300.0, -300.0"""
"C:\Users\deerd\detected_speech_2.csv","hunt","2025-02-17 20:28:17,but a look at look up owen hunt in coconut the book but uh huh,""-300.0, -993.8, 993.8, -1000.0, 1000.0"""
"C:\Users\deerd\detected_speech_2.csv","death","2025-02-17 20:48:55,good a death and,""-900.2, 480.0, -480.0, 352.4, -352.4"""
"C:\Users\deerd\detected_speech_2.csv","hunt","2025-02-17 20:56:47,and a lot to hunt up that then,""-1500.4, 1980.5, -1980.5, 251.7, -251.7"""
"C:\Users\deerd\detected_speech_2.csv","kill","2025-02-17 21:02:21,don't he killed a look at look at but who can cut little,""-1000.0, -993.8, 993.8, 1012.5, -1012.5"""
"C:\Users\deerd\detected_speech_2.csv","death","2025-02-17 21:25:50,uh huh i want that it death,""1859.5, -1139.7, 1139.7, 1499.6, -1499.6"""
"C:\Users\deerd\detected_speech_2.csv","death","2025-02-17 21:54:19,the bill and death,""1380.4, 600.2, -600.2, -1260.5, 1260.5"""
"C:\Users\deerd\detected_speech_2.csv","death","2025-02-17 23:09:21,i have to go go death,""-999.8, -1000.1, 1000.1, 1000.0, -1000.0"""
"C:\Users\deerd\detected_speech_2.csv","death","2025-02-17 23:10:14,the death at on,""-2939.0, -719.7, 719.7, 2219.3, -2219.3"""
"C:\Users\deerd\detected_speech_2.csv","death","2025-02-17 23:30:50,death good,""-479.7, 1499.3, -1499.3, -899.6, 899.6"""
"C:\Users\deerd\detected_speech_2.csv","death","2025-02-18 00:06:06,but a death,""2700.4, 2460.4, -2460.4, -1080.2, 1080.2"""
"C:\Users\deerd\detected_speech_2.csv","death","2025-02-18 00:06:55,but the bill and death,""719.8, 899.8, -899.8, -479.9, 479.9"""
"C:\Users\deerd\detected_speech_2.csv","death","2025-02-18 07:12:59,and a bit of death,""-1000.0, 993.6, -993.6, 281.0, -281.0"""
"C:\Users\deerd\detected_speech_bedroom_6_log.csv","Langley","2025-02-22 13:03:09,,,up to the langley and ripped up the that it,up to the langley and ripped up the that it,,""41.0, 41.3, 41.1, 40.9, 11.4, 41.1, 41.3, 11.2, 41.2, 11.4"""
"C:\Users\deerd\detected_speech_log.csv","kill","2025-02-16 22:31:53,when it up and the but it goes on the that now that the let it all the good look at it looked this good and look what it's going to do nothing when that with who will report were killed when a good all the hu got the good could and the old heart goes out and,""2000.0, 1000.0, 1000.0, 1000.2, 1000.1, 999.6, 1000.0, 999.8, 1000.0, 1000.0"""
"C:\Users\deerd\detected_speech_log.csv","hunt","2025-02-16 22:40:53,do the and the lead and that print and i am i'm in oakland let a let who do an and all the in a long and it and hunt and you and hung the good the long look good among good old u. n. in the head we are on the top gun wouldn't go are good had he called on the illegal or through and a lot,""3216.6, 999.5, 999.9, 3000.0, 3216.8, 3218.8, 2000.0, 3215.1, 3216.7, 2000.0"""
"C:\Users\deerd\detected_speech_log.csv","hunt","2025-02-16 23:55:53,what would lead the well lou but the good old what a lot of huntley huntley and that only one what are you the clue,""199.6, 199.9, 200.3, 201.1, 200.2, 199.9, 199.9, 200.1, 200.0, 200.0"""
"C:\Users\deerd\detected_speech_log.csv","kill","2025-02-17 10:47:28,good i'll what hundred an caught or killed or me two little in the article we are in the end what it looked you do you but and you heard on the record all who'd called the look at her what are we what can we are working on all you got all you know really on whom are not a lot we look hmm what oh,""119.9, 120.0, 119.9, 119.9, 119.9, 119.9, 120.0, 120.0, 120.0, 120.0"""
"C:\Users\deerd\detected_speech_log.csv","army","2025-02-17 10:52:22,look what are you going and what do can that the good lord owen what can he not written will who will work out or go could own party what you're thinking in total hutu army little league the not yet even come on i asked quickly lose the one thing he wanted when he got a little but it'll be all will go all but a unity and all the who are we are the look in her long gotten you click on in,""479.9, 479.9, 480.0, 479.9, 480.0, 480.0, 120.0, 120.0, 480.0, 480.0"""
"C:\Users\deerd\detected_speech_log.csv","kill","2025-02-17 10:55:35,you are the week we do a quote in the mall t. what you're not old ought and you quick to the total a good little on what you and a long to in or are we are all what are your can only hurt or kill or it'll be in the but not long why,""479.8, 479.7, 360.1, 479.9, 479.8, 479.8, 479.8, 479.9, 479.9, 479.8"""
"C:\Users\deerd\detected_speech_log.csv","murder","2025-02-17 11:47:34,what can the u. did and you curse on on it and cool cool who don't really go back on the little league oak know what the younger one of low blow and partly on mockery and it all over the great and who who are you wouldn't work to you look with all her or to murder or group good outta own eye,""360.0, 360.0, 360.1, 120.0, 360.1, 240.1, 360.0, 600.1, 360.0, 600.0"""
"C:\Users\deerd\detected_speech_log.csv","death","2025-02-17 13:38:33,the you i got ought one i can but what but but don't fuck up and that the white and i will build up the four and the do at that you cut smoke and and the people to death to that all the fact that with what oh what kind if we put up and and not you and the u. what the to eat and now the company and urged got the what we are what the post,""119.7, 120.8, 119.3, 119.7, 120.0, 120.5, 120.5, 119.9, 119.5, 120.0"""
"C:\Users\deerd\detected_speech_log.csv","death","2025-02-17 14:03:33,the one will confirm what the the you good at and dip pampered and dumped up and talk the good what i'm goin' up what the the the thought they'd flipped into the black and thought that and and it and couldn't and the fact that will whip the death blow up at all the strip and the thump and that lilith and the type that the fact that that we could with the flood but look at her,""119.6, 240.0, 240.1, 120.5, 119.8, 119.5, 120.1, 120.0, 120.0, 120.0"""
"C:\Users\deerd\detected_speech_log.csv","kill","2025-02-17 14:05:33,you have to what end up what they can and it is that her thinking up a and the and for the the the the split the or the fed lower but the all of the work of the killer used in what the lugar and i,""120.9, 118.9, 120.6, 119.4, 121.1, 120.2, 120.0, 240.0, 120.0, 120.0"""
